feature,feature_family,population,independent_motors,record_subsystem_block_units,spearman_raw_vs_speed_proxy,spearman_robust_z_vs_speed_proxy,speed_proxy,inferential_p_value_claimed
rms_ratio_c,current_shape,healthy_unused,1,8,-0.5697911578384245,-0.8001322641986388,fundamental_hz (electrical-frequency proxy),False
sequence_unbalance,sequence_imbalance,fault,1,768,0.4287078187419032,0.3795303781745313,fundamental_hz (electrical-frequency proxy),False
sequence_unbalance,sequence_imbalance,healthy_adaptation,1,8,-0.29277002188455997,-0.43915503282683993,fundamental_hz (electrical-frequency proxy),False
sequence_unbalance,sequence_imbalance,healthy_all,1,128,0.596771323615234,0.5377672740595425,fundamental_hz (electrical-frequency proxy),False
sequence_unbalance,sequence_imbalance,healthy_calibration,1,48,0.7994479895012073,0.7212292466093155,fundamental_hz (electrical-frequency proxy),False
sequence_unbalance,sequence_imbalance,healthy_health_test,1,64,0.7500842830780787,0.6855727954070314,fundamental_hz (electrical-frequency proxy),False
sequence_unbalance,sequence_imbalance,healthy_unused,1,8,0.7637626158259734,0.7637626158259734,fundamental_hz (electrical-frequency proxy),False
sideband_lower_ratio,harmonic_sideband,fault,1,768,-0.7479244609147586,-0.7328306734495837,fundamental_hz (electrical-frequency proxy),False
sideband_lower_ratio,harmonic_sideband,healthy_adaptation,1,8,-0.9759000729485332,-0.9759000729485332,fundamental_hz (electrical-frequency proxy),False
sideband_lower_ratio,harmonic_sideband,healthy_all,1,128,-0.6787263462808977,-0.6727031180953754,fundamental_hz (electrical-frequency proxy),False
sideband_lower_ratio,harmonic_sideband,healthy_calibration,1,48,-0.8022883349134827,-0.783607601625056,fundamental_hz (electrical-frequency proxy),False
sideband_lower_ratio,harmonic_sideband,healthy_health_test,1,64,-0.7524804240487177,-0.7423889841916038,fundamental_hz (electrical-frequency proxy),False
sideband_lower_ratio,harmonic_sideband,healthy_unused,1,8,-0.2060946741117706,-0.06061608062110899,fundamental_hz (electrical-frequency proxy),False
sideband_upper_ratio,harmonic_sideband,fault,1,768,-0.7651852574350211,-0.7472959276190576,fundamental_hz (electrical-frequency proxy),False
sideband_upper_ratio,harmonic_sideband,healthy_adaptation,1,8,-0.9759000729485332,-0.9759000729485332,fundamental_hz (electrical-frequency proxy),False
sideband_upper_ratio,harmonic_sideband,healthy_all,1,128,-0.7116096054102626,-0.6914919082137285,fundamental_hz (electrical-frequency proxy),False
sideband_upper_ratio,harmonic_sideband,healthy_calibration,1,48,-0.8363724798607874,-0.8055656565430311,fundamental_hz (electrical-frequency proxy),False
sideband_upper_ratio,harmonic_sideband,healthy_health_test,1,64,-0.7598531654968375,-0.7402693210252694,fundamental_hz (electrical-frequency proxy),False
sideband_upper_ratio,harmonic_sideband,healthy_unused,1,8,0.3273268353539886,0.5455447255899809,fundamental_hz (electrical-frequency proxy),False
spectral_entropy,spectral_entropy,fault,1,768,0.5923557389395876,0.328278342294835,fundamental_hz (electrical-frequency proxy),False
spectral_entropy,spectral_entropy,healthy_adaptation,1,8,-0.7807200583588266,-0.7319250547114,fundamental_hz (electrical-frequency proxy),False
