scope,feature,feature_family,block_id,block_label,independent_motors,healthy_units,fault_units,matched_fault_health_pairs,healthy_raw_mean,fault_raw_mean,raw_hedges_g_fault_minus_health,raw_single_feature_auc_fault_higher,raw_direction_free_auc,matched_raw_difference_mean,matched_raw_difference_median,matched_raw_dz,robust_z_hedges_g_fault_minus_health,robust_z_single_feature_auc_fault_higher,robust_z_direction_free_auc,matched_robust_z_dz,auroc_inferential_claimed
all_matched_loads,harmonic_2_ratio_max,harmonic_sideband,1,1,1,16,96,96,0.021209110436512357,0.010597166558946181,-0.5977868998121064,0.3880208333333333,0.6119791666666667,-0.010611943877566178,-0.0017231099674533635,-0.4415940899417231,-0.5235361470545554,0.43750000000000006,0.5625,-0.43731369820585125,False
all_matched_loads,harmonic_2_ratio_max,harmonic_sideband,2,2,1,16,96,96,0.017296427407347548,0.0098011792590303,-0.5056425833041741,0.49088541666666674,0.5091145833333333,-0.007495248148317248,-0.0007170111219666068,-0.4159159487347674,-0.4177876778143071,0.4915364583333333,0.5084635416666667,-0.41059067527783033,False
all_matched_loads,harmonic_2_ratio_max,harmonic_sideband,3,3,1,16,96,96,0.016942573321272605,0.008628573579347933,-0.6027304577792334,0.4173177083333333,0.5826822916666667,-0.008313999741924672,-0.0009972031807160965,-0.4165720740349952,-0.4944421117341005,0.45442708333333337,0.5455729166666666,-0.40316278313753756,False
all_matched_loads,harmonic_2_ratio_max,harmonic_sideband,4,4,1,16,96,96,0.015780798511173463,0.008199282131485831,-0.5858074872815603,0.3444010416666667,0.6555989583333333,-0.007581516379687632,-0.0009440866340491602,-0.4268172430201388,-0.4642273205697095,0.4114583333333333,0.5885416666666667,-0.42478389359808477,False
all_matched_loads,harmonic_2_ratio_max,harmonic_sideband,5,5,1,16,96,96,0.01535234294031477,0.008417782008207246,-0.5327340942372596,0.373046875,0.626953125,-0.006934560932107525,-0.0009129817684745431,-0.39358669891709974,-0.41458060730850876,0.419921875,0.580078125,-0.41030624296043694,False
all_matched_loads,harmonic_2_ratio_max,harmonic_sideband,6,6,1,16,96,96,0.023712240696724028,0.00989611379787476,-0.6900637808911217,0.37760416666666663,0.6223958333333334,-0.013816126898849266,-0.0011666189607714894,-0.39287987975510025,-0.6217516324529266,0.42057291666666663,0.5794270833333334,-0.4004198601998327,False
all_matched_loads,harmonic_2_ratio_max,harmonic_sideband,7,7,1,16,96,96,0.02581948598586524,0.014632976312667521,-0.3457065699105656,0.5026041666666667,0.5026041666666667,-0.011186509673197722,-0.0002629132896283864,-0.28373938935798615,-0.30567784522751,0.4895833333333333,0.5104166666666667,-0.27918812543157584,False
all_matched_loads,harmonic_2_ratio_mean,harmonic_sideband,-1,all_blocks,1,128,768,768,0.014184464723957638,0.007338705814578142,-0.5205412516544126,0.4322306315104167,0.5677693684895833,-0.006845758909379496,-0.0006568452323094032,-0.3575085798814916,-0.27443197167095823,0.44033813476562506,0.559661865234375,-0.36563636219766377,False
all_matched_loads,harmonic_2_ratio_mean,harmonic_sideband,0,0,1,16,96,96,0.015352857145309623,0.009744597098280126,-0.4072486560991629,0.4381510416666667,0.5618489583333333,-0.005608260047029495,-0.0006182552006247194,-0.4055879251389381,-0.23523646417937777,0.44335937499999994,0.556640625,-0.3873205366078272,False
all_matched_loads,harmonic_2_ratio_mean,harmonic_sideband,1,1,1,16,96,96,0.015116750080651775,0.007765445768122151,-0.5685885464607097,0.4114583333333333,0.5885416666666667,-0.007351304312529624,-0.0009982754231242566,-0.4266985001792893,-0.308555315511612,0.42382812499999994,0.576171875,-0.40545429229927366,False
all_matched_loads,harmonic_2_ratio_mean,harmonic_sideband,2,2,1,16,96,96,0.012568253792955408,0.007019095178317889,-0.5204774612593126,0.505859375,0.505859375,-0.0055491586146375225,-0.00040546727735001954,-0.4017406273698827,-0.24306867475319444,0.4739583333333333,0.5260416666666667,-0.3718305337585951,False
all_matched_loads,harmonic_2_ratio_mean,harmonic_sideband,3,3,1,16,96,96,0.011761564756309692,0.006094340737501845,-0.5932978227821961,0.42968749999999994,0.5703125,-0.005667224018807849,-0.0006847223270584498,-0.4157150747694872,-0.25209636927863127,0.43554687499999994,0.564453125,-0.385171665370723,False
all_matched_loads,harmonic_2_ratio_mean,harmonic_sideband,4,4,1,16,96,96,0.01079986434750059,0.00551974419070321,-0.6165980484761144,0.3548177083333333,0.6451822916666667,-0.0052801201567973825,-0.00065641858055081,-0.421699819359913,-0.23252267101640597,0.400390625,0.599609375,-0.4228286915075298,False
all_matched_loads,harmonic_2_ratio_mean,harmonic_sideband,5,5,1,16,96,96,0.011169760631245505,0.005613376263871432,-0.5979290248140082,0.38476562500000006,0.615234375,-0.0055563843673740706,-0.0005793150322477964,-0.373194011997119,-0.22610830191131462,0.416015625,0.583984375,-0.4101190798756389,False
all_matched_loads,harmonic_2_ratio_mean,harmonic_sideband,6,6,1,16,96,96,0.016713590997444166,0.006947065941142846,-0.6815533823541251,0.4088541666666667,0.5911458333333333,-0.009766525056301318,-0.0006228501152549097,-0.3751169688079443,-0.37599437212003173,0.4303385416666667,0.5696614583333333,-0.3972595500417064,False
all_matched_loads,harmonic_2_ratio_mean,harmonic_sideband,7,7,1,16,96,96,0.01999307604024433,0.010005981338685625,-0.46231397141762887,0.4798177083333333,0.5201822916666667,-0.009987094701558704,-0.0006622134291563702,-0.31398634599915626,-0.2930636509302531,0.4798177083333333,0.5201822916666667,-0.31425739532380276,False
all_matched_loads,harmonic_3_ratio_max,harmonic_sideband,-1,all_blocks,1,128,768,768,0.014149488055389084,0.03519530667522668,0.6018296130082161,0.8404744466145834,0.8404744466145834,0.021045818619837602,0.01503260468806436,0.7592685375138134,0.6101099949435896,0.8436991373697917,0.8436991373697917,0.7633571510888119,False
all_matched_loads,harmonic_3_ratio_max,harmonic_sideband,0,0,1,16,96,96,0.016069401605132413,0.015933649987993317,-0.010645584888000525,0.6608072916666666,0.6608072916666666,-0.00013575161713910103,0.0024414682382076333,-0.009793842465271178,-0.020264467364268193,0.6686197916666667,0.6686197916666667,-0.017631206659744905,False
all_matched_loads,harmonic_3_ratio_max,harmonic_sideband,1,1,1,16,96,96,0.015484454955358721,0.01769291429671679,0.15536408198007445,0.7428385416666666,0.7428385416666666,0.0022084593413580714,0.00462399169049714,0.1468621068812578,0.15562113878813968,0.755859375,0.755859375,0.13643913993676718,False
