subset,feature,windows,native_median,polyphase_10khz_median,median_signed_delta,median_absolute_delta,native_iqr,median_absolute_delta_per_native_iqr,root_mean_squared_delta,pearson_correlation,spearman_correlation
healthy_source_windows,harmonic_5_ratio_mean,1800,0.03376939852417435,0.0337549935063952,-1.5934515653646952e-05,1.5934515653646952e-05,0.030758851451742446,0.0005180465102426405,1.6084634815821e-05,0.9999999691368657,0.9999993271602863
healthy_source_windows,harmonic_5_ratio_max,1800,0.0364329432387804,0.036418395377190355,-1.6543123411452004e-05,1.6543123411452004e-05,0.029689125393355272,0.0005572115443708734,1.7487781904625313e-05,0.9999999548182918,0.9999993539092655
healthy_source_windows,thd_2_to_5_mean,1800,0.05104372569201335,0.051053629648690396,-3.2519037249517657e-06,1.1294843182897002e-05,0.007265072702300902,0.0015546772407824413,1.4839474710531102e-05,0.9999964596678791,0.9999928230430525
healthy_source_windows,rms_ratio_a,1800,0.8806293324488392,0.8692619629704622,-0.005526019617207556,0.005526019617207556,0.11328169863358606,0.04878122136111037,0.008184598005249635,0.9978667360818693,0.9547362658651027
healthy_source_windows,crest_a,1800,6.33855130970623,1.8791642409884652,-4.328480050708325,4.328480050708325,2.840559202340752,1.5238126517980888,3.9450284079365816,0.7649240565500873,0.7330381315961312
healthy_source_windows,kurtosis_a,1800,2.5698776616410917,1.549028875675693,-1.0320183899818964,1.0320183899818964,1.989821505363146,0.5186487266321665,1.5990839736662268,0.8202152263397062,0.7374979477874326
healthy_source_windows,rms_ratio_b,1800,1.0471581502782692,1.0538489922541259,0.0032604009097261244,0.0032604009097261244,0.0363485913381163,0.08969813656319504,0.005501691310812803,0.987229914648301,0.9088025623876222
healthy_source_windows,crest_b,1800,6.096574213068369,1.9206544226501197,-3.9561357000630686,3.9561357000630686,2.9535438362921234,1.3394538626620143,3.5131315398236747,0.6551974421128856,0.6355013319448556
healthy_source_windows,kurtosis_b,1800,2.182686499683154,1.551284994839017,-0.6556515202459811,0.6556515202459811,1.4475416865624748,0.45294137387019123,1.156236523235531,0.5592351606314031,0.3991998269135269
healthy_source_windows,rms_ratio_c,1800,1.071226537226316,1.0752526035465375,0.0017284346123391803,0.0017485623544801765,0.07622459547697258,0.022939608187339172,0.003326369163265504,0.9985752818745562,0.9535592943084242
healthy_source_windows,crest_c,1800,6.354612631743585,1.9037903103298421,-4.268404287465054,4.268404287465054,3.3935002699658066,1.257817577102495,3.782487931746486,0.7797992105492202,0.750479058789833
healthy_source_windows,kurtosis_c,1800,2.2773633702179588,1.535217569681435,-0.7393227032907346,0.7393227032907346,1.6757196070968858,0.4411971431017509,1.2809544076384718,0.960226309747406,0.9720155613216754
